dataset,outlier_method,norm,metric,ari_mean,ari_std,acc_mean,acc_std,silhouette_mean
1_iris,none,none,cosine,0.9222414299226984,3.3306690738754696e-16,0.9733333333333332,2.220446049250313e-16,0.7485238922885507
balance,none,standard,correlation,0.2363537560941607,0.1126203398085636,0.5696533333333332,0.066278743366348,0.3941281813369253
balance,zscore,standard,correlation,0.2363537560941607,0.1126203398085636,0.5696533333333332,0.066278743366348,0.3941281813369253
balance,iqr,standard,correlation,0.2363537560941607,0.1126203398085636,0.5696533333333332,0.066278743366348,0.3941281813369253
blood,none,none,euclidean,0.079541753214236,1.3877787807814457e-17,0.7232620320855614,1.1102230246251563e-16,0.7025413950356172
blood,none,none,manhattan,0.079541753214236,1.3877787807814457e-17,0.7232620320855614,1.1102230246251563e-16,0.6973988289554108
blood,none,none,minkowski,0.079541753214236,1.3877787807814457e-17,0.7232620320855614,1.1102230246251563e-16,0.7027873731634486
blood,none,none,chebyshev,0.079541753214236,1.3877787807814457e-17,0.7232620320855614,1.1102230246251563e-16,0.702864491378315
cancer,iqr,robust,euclidean,0.7601004781686834,0.0087493479266058,0.9408710217755442,0.0022221941643922,0.3555060095010893
ecoli,none,standard,euclidean,0.5269625032073092,0.0696187609561909,0.6625992063492064,0.053947551613997,0.2743100811387921
glass,zscore,none,chebyshev,0.2637129226660933,0.0161627372672185,0.5542955326460481,0.0202603477291871,0.4046752036428014
iris,none,none,cosine,0.9222414299226984,3.3306690738754696e-16,0.9733333333333332,2.220446049250313e-16,0.7485238922885507
iris,zscore_robust,none,cosine,0.9222414299226984,3.3306690738754696e-16,0.9733333333333332,2.220446049250313e-16,0.7485238922885507
seeds,none,minmax,chebyshev,0.8110809804859894,1.1102230246251563e-16,0.9333333333333332,0.0,0.3833600414509387
vertebral,iqr,standard,correlation,0.3768438819852918,0.002007029145907,0.714336917562724,0.0016425002490881,0.5012048757814755
wine,iqr,minmax,euclidean,0.947755227073306,2.220446049250313e-16,0.9813664596273288,2.220446049250313e-16,0.315728795823443
wine,iqr,standard,euclidean,0.947755227073306,2.220446049250313e-16,0.9813664596273288,2.220446049250313e-16,0.3010147337033009
