dataset,outlier_method,norm,metric,ari_mean,ari_min,ari_max,ari_std,acc_mean,acc_min,acc_max,acc_std,silhouette_mean,silhouette_min,silhouette_max,silhouette_std
1_iris,none,none,cosine,0.9222414299226984,0.922241429922698,0.922241429922698,3.3306690738754696e-16,0.9733333333333332,0.9733333333333334,0.9733333333333334,2.220446049250313e-16,0.7485238922885507,0.748523892288551,0.748523892288551,3.3306690738754696e-16
2_iris,none,none,cosine,0.9222414299226984,0.922241429922698,0.922241429922698,3.3306690738754696e-16,0.9733333333333332,0.9733333333333334,0.9733333333333334,2.220446049250313e-16,0.7485238922885507,0.748523892288551,0.748523892288551,3.3306690738754696e-16
2_iris,zscore_robust,none,cosine,0.9222414299226984,0.922241429922698,0.922241429922698,3.3306690738754696e-16,0.9733333333333332,0.9733333333333334,0.9733333333333334,2.220446049250313e-16,0.7485238922885507,0.748523892288551,0.748523892288551,3.3306690738754696e-16
balance,none,standard,correlation,0.2363537560941607,0.1025940005803549,0.3745303701678211,0.1126203398085636,0.5696533333333332,0.4784,0.6496,0.066278743366348,0.3941281813369253,0.3933103274277924,0.3948110648024441,0.0004708362978332
balance,zscore,standard,correlation,0.2363537560941607,0.1025940005803549,0.3745303701678211,0.1126203398085636,0.5696533333333332,0.4784,0.6496,0.066278743366348,0.3941281813369253,0.3933103274277924,0.3948110648024441,0.0004708362978332
balance,zscore_2.5,standard,correlation,0.2363537560941607,0.1025940005803549,0.3745303701678211,0.1126203398085636,0.5696533333333332,0.4784,0.6496,0.066278743366348,0.3941281813369253,0.3933103274277924,0.3948110648024441,0.0004708362978332
balance,zscore_3.5,standard,correlation,0.2363537560941607,0.1025940005803549,0.3745303701678211,0.1126203398085636,0.5696533333333332,0.4784,0.6496,0.066278743366348,0.3941281813369253,0.3933103274277924,0.3948110648024441,0.0004708362978332
balance,iqr,standard,correlation,0.2363537560941607,0.1025940005803549,0.3745303701678211,0.1126203398085636,0.5696533333333332,0.4784,0.6496,0.066278743366348,0.3941281813369253,0.3933103274277924,0.3948110648024441,0.0004708362978332
balance,iqr_1.2,standard,correlation,0.2363537560941607,0.1025940005803549,0.3745303701678211,0.1126203398085636,0.5696533333333332,0.4784,0.6496,0.066278743366348,0.3941281813369253,0.3933103274277924,0.3948110648024441,0.0004708362978332
balance,iqr_1.8,standard,correlation,0.2363537560941607,0.1025940005803549,0.3745303701678211,0.1126203398085636,0.5696533333333332,0.4784,0.6496,0.066278743366348,0.3941281813369253,0.3933103274277924,0.3948110648024441,0.0004708362978332
balance,zscore_robust,standard,correlation,0.2363537560941607,0.1025940005803549,0.3745303701678211,0.1126203398085636,0.5696533333333332,0.4784,0.6496,0.066278743366348,0.3941281813369253,0.3933103274277924,0.3948110648024441,0.0004708362978332
balance,zscore_robust_2.5,standard,correlation,0.2363537560941607,0.1025940005803549,0.3745303701678211,0.1126203398085636,0.5696533333333332,0.4784,0.6496,0.066278743366348,0.3941281813369253,0.3933103274277924,0.3948110648024441,0.0004708362978332
balance,zscore_robust_3.5,standard,correlation,0.2363537560941607,0.1025940005803549,0.3745303701678211,0.1126203398085636,0.5696533333333332,0.4784,0.6496,0.066278743366348,0.3941281813369253,0.3933103274277924,0.3948110648024441,0.0004708362978332
blood,none,none,euclidean,0.079541753214236,0.079541753214236,0.079541753214236,1.3877787807814457e-17,0.7232620320855614,0.7232620320855615,0.7232620320855615,1.1102230246251563e-16,0.7025413950356172,0.7025413950356174,0.7025413950356174,2.220446049250313e-16
blood,none,none,minkowski,0.079541753214236,0.079541753214236,0.079541753214236,1.3877787807814457e-17,0.7232620320855614,0.7232620320855615,0.7232620320855615,1.1102230246251563e-16,0.7027873731634486,0.7027873731634484,0.7027873731634484,2.220446049250313e-16
blood,none,none,chebyshev,0.079541753214236,0.079541753214236,0.079541753214236,1.3877787807814457e-17,0.7232620320855614,0.7232620320855615,0.7232620320855615,1.1102230246251563e-16,0.702864491378315,0.7028644913783151,0.7028644913783151,1.1102230246251563e-16
cancer,zscore_2.5,minmax,euclidean,0.7949389724970299,0.7949389724970302,0.7949389724970302,2.220446049250313e-16,0.9474835886214444,0.9474835886214442,0.9474835886214442,2.220446049250313e-16,0.3601448270492048,0.360144827049205,0.360144827049205,1.6653345369377348e-16
ecoli,none,standard,euclidean,0.5269625032073092,0.4314950139099946,0.7213597486047016,0.0696187609561909,0.6625992063492064,0.5565476190476191,0.8035714285714286,0.053947551613997,0.2743100811387921,0.2549635210392378,0.3521564614555384,0.0242940251840111
glass,zscore_robust,minmax,euclidean,0.3061017153306084,0.1129422628281544,0.3985791792811966,0.0763476990619347,0.5919191919191918,0.4444444444444444,0.6868686868686869,0.0547446170685593,0.2578281174636936,0.2467409273012426,0.2866719193661005,0.0098022566843526
iris,none,none,cosine,0.9222414299226984,0.922241429922698,0.922241429922698,3.3306690738754696e-16,0.9733333333333332,0.9733333333333334,0.9733333333333334,2.220446049250313e-16,0.7485238922885507,0.748523892288551,0.748523892288551,3.3306690738754696e-16
iris,zscore_3.5,none,cosine,0.9222414299226984,0.922241429922698,0.922241429922698,3.3306690738754696e-16,0.9733333333333332,0.9733333333333334,0.9733333333333334,2.220446049250313e-16,0.7485238922885507,0.748523892288551,0.748523892288551,3.3306690738754696e-16
iris,zscore_robust,none,cosine,0.9222414299226984,0.922241429922698,0.922241429922698,3.3306690738754696e-16,0.9733333333333332,0.9733333333333334,0.9733333333333334,2.220446049250313e-16,0.7485238922885507,0.748523892288551,0.748523892288551,3.3306690738754696e-16
