dataset,norm,outlier_method,metric,ari_mean,ari_min,ari_max,ari_std,acc_mean,acc_min,acc_max,acc_std,silhouette_mean,silhouette_min,silhouette_max,silhouette_std
balance,minmax,none,cosine,0.1960907865034075,0.0643307746269604,0.3955354272731634,0.0958363231975828,0.6903039999999998,0.5968,0.7872,0.050306870147128,0.1638337071622644,0.1031981895907838,0.1659458276690958,0.0062023833335472
balance,none,none,cosine,0.197628939444762,0.0848450541612511,0.3890951321860126,0.0943230513220001,0.6915519999999998,0.6128,0.784,0.0497919280205135,0.1643986735340643,0.1605808285345494,0.1657125811629259,0.0010704791519729
balance,robust,none,correlation,0.1746794004147104,0.024717844394128,0.4709010341182327,0.104845796958964,0.6785919999999999,0.5632,0.8256,0.0644481429988483,0.1411547011880654,0.1228974663232217,0.1526093133257812,0.0060602396709167
balance,standard,none,correlation,0.1739291679278554,0.0330323505534069,0.4709010341182327,0.1029000149231697,0.6783999999999999,0.576,0.8256,0.0630221294467268,0.1410234379882078,0.1228974663232215,0.1526093133257814,0.0062782511980111
blood,minmax,zscore,correlation,0.1106257427623965,0.0616212204972933,0.1221206307011244,0.0237339733700081,0.7654320987654321,0.7654320987654321,0.7654320987654321,0.0,0.2810851884774857,0.2791869435558674,0.281530455804779,0.0009193619759359
blood,none,none,chebyshev,0.0787568410149399,0.0695947516794024,0.079541753214236,0.0025294968223533,0.7620320855614974,0.7620320855614974,0.7620320855614974,0.0,0.7034021166423513,0.7025413950356174,0.7166412586354151,0.0029953870287964
blood,robust,none,minkowski,0.0796113968054622,-0.0036486420711699,0.0820596763040499,0.0096347159720009,0.7620320855614974,0.7620320855614974,0.7620320855614974,0.0,0.5522353163910307,0.5501475784302086,0.6605993674621067,0.0112854670226157
blood,standard,zscore,euclidean,0.0576866161578778,0.0569169964827116,0.0621361781475977,0.0018365328996235,0.7654320987654321,0.7654320987654321,0.7654320987654321,0.0,0.4294975105549244,0.4291388910743799,0.4315744183044394,0.000856142531152
cancer,minmax,iqr,manhattan,0.7349315070774104,0.7349315070774105,0.7349315070774105,1.1102230246251563e-16,0.934673366834171,0.9346733668341708,0.9346733668341708,1.1102230246251563e-16,0.3325198426203433,0.3325198426203434,0.3325198426203434,5.551115123125783e-17
cancer,none,iqr,chebyshev,0.6591406403945419,0.6591406403945421,0.6591406403945421,2.220446049250313e-16,0.917085427135678,0.9170854271356784,0.9170854271356784,3.3306690738754696e-16,0.6678486815214042,0.6678486815214042,0.6678486815214042,0.0
cancer,robust,iqr,euclidean,0.7557775571818723,0.7455913260522707,0.7653765334837428,0.0040123610008019,0.9395226130653264,0.9371859296482412,0.942211055276382,0.0009570852741075,0.3520958383528904,0.350418735578808,0.3581241488455417,0.0030450047237617
cancer,standard,iqr,manhattan,0.7349315070774104,0.7349315070774105,0.7349315070774105,1.1102230246251563e-16,0.934673366834171,0.9346733668341708,0.9346733668341708,1.1102230246251563e-16,0.3316445438418268,0.3316445438418268,0.3316445438418268,5.551115123125783e-17
ecoli,minmax,none,chebyshev,0.4466197774591284,0.3276138286017269,0.6551866599363897,0.073826643283115,0.7989285714285714,0.7410714285714286,0.8541666666666666,0.0224473432716356,0.2245855781761765,0.1243525743663427,0.2984289668425123,0.0310619938508708
ecoli,none,none,chebyshev,0.4347274808589565,0.289700724289206,0.6366381769542824,0.0648607033859572,0.797142857142857,0.7351190476190477,0.8482142857142857,0.0248354847718919,0.2067485182265258,0.1425408839353437,0.2948430754136871,0.0318808457614418
ecoli,robust,none,euclidean,0.3954947103723515,0.3278012095129594,0.529310855268085,0.0432366471144177,0.7875892857142857,0.7440476190476191,0.8333333333333334,0.0168182677834498,0.2320252558911041,0.1917903187418852,0.262907133823263,0.0122356873372494
ecoli,standard,none,minkowski,0.4747182551608471,0.372811593078492,0.7175017044386933,0.0766117918687229,0.8209821428571427,0.7708333333333334,0.8541666666666666,0.0186641790662064,0.2431451101168709,0.1669102844965042,0.3193678402837816,0.0253951587837376
glass,minmax,zscore,manhattan,0.1883835428026421,0.0919600127588412,0.3189201769918048,0.0427356976144023,0.5791752577319588,0.5051546391752577,0.7164948453608248,0.047526332264082,0.358099747320846,0.1619616861337923,0.4267899389456833,0.0708281547995315
glass,none,none,chebyshev,0.2475401822563214,0.1726391502302975,0.290575159233952,0.0329022546619115,0.5624766355140186,0.4906542056074766,0.6401869158878505,0.0238423560900602,0.3562442189421645,0.1671043160604766,0.5624956528503953,0.0844898799209263
glass,robust,zscore,manhattan,0.2164774619264779,0.1217094218976279,0.3059318913576468,0.0437983407289811,0.6067525773195875,0.5103092783505154,0.7061855670103093,0.0601451418752112,0.3061087860220803,0.1639682440428886,0.4073308882347367,0.0563555873275902
glass,standard,zscore,manhattan,0.2075389200546253,0.1113069788929899,0.3106756506785592,0.048369299755661,0.5939175257731959,0.5103092783505154,0.7061855670103093,0.0532530859953731,0.2879391098980164,0.1655794974878884,0.4153050260872904,0.0655973962514212
iris,minmax,none,minkowski,0.677088262573368,0.4296425646945077,0.7429751965483791,0.1024200424650056,0.8552000000000001,0.6666666666666666,0.9,0.0794541377147848,0.4970969251645553,0.4749007970617284,0.5047687565398589,0.0104929194901474
iris,none,iqr,cosine,0.8477599573263072,0.4359721999114274,0.9188032745638312,0.1652149850805827,0.928082191780822,0.6643835616438356,0.9726027397260274,0.1064291880891366,0.4848273015836388,0.436457407887001,0.4922912567735946,0.0145604986782994
iris,robust,none,manhattan,0.6027496709448417,0.432804702527474,0.6416026620488269,0.0698827627512392,0.8146666666666667,0.6666666666666666,0.8466666666666667,0.0622039655756233,0.4308392367571941,0.4246350549379626,0.486578839537915,0.0080778767520971
iris,standard,none,manhattan,0.6361302550250417,0.4370873226495413,0.6664858716814338,0.0769508157957348,0.8347999999999999,0.6666666666666666,0.86,0.064996273397446,0.4617402609816619,0.4588984912467231,0.4784448044000893,0.0064675898552926
seeds,minmax,none,chebyshev,0.7719997445819143,0.4111538558245958,0.8110809804859893,0.0568579179937771,0.9154761904761908,0.6619047619047619,0.9333333333333332,0.0372183299146086,0.4081083262664344,0.3429264241343812,0.412227177439818,0.0089663666626112
seeds,none,none,euclidean,0.713794689825468,0.7103417092680225,0.7166198557361053,0.0031233384320288,0.8930952380952384,0.8904761904761904,0.8952380952380953,0.0023690177073967,0.470226138590666,0.46813908008597,0.47193373191269,0.00188781544789
seeds,robust,none,euclidean,0.7673056396100734,0.7385547916982933,0.7951481220464484,0.0116864499654887,0.916904761904762,0.9047619047619048,0.9285714285714286,0.0048269368887412,0.392430466295217,0.3910654597836476,0.3945140457836474,0.0014269633823618
seeds,standard,zscore,euclidean,0.7786515867769732,0.7565413275221635,0.8093867307205523,0.0104228064263671,0.92125,0.9134615384615384,0.9326923076923076,0.0039516774207759,0.4055474066568039,0.4037982366035469,0.4078835088995659,0.0018649148143806
vertebral,minmax,zscore,cosine,0.377791212535868,0.2764035972079566,0.5239952129639566,0.0734210194235381,0.7070134228187919,0.6442953020134228,0.7885906040268457,0.016258345973443,0.2151812774723777,0.1714604452453381,0.2678107052414012,0.0400792129602532
vertebral,none,iqr,chebyshev,0.4111624734517556,0.4096706760821799,0.4156378655604827,0.0025838688387027,0.7526881720430108,0.7526881720430108,0.7526881720430108,0.0,0.3667111738156566,0.3658564735153217,0.3692752747166611,0.0014803843454243
vertebral,robust,iqr,correlation,0.3230290756364561,0.3068629527856927,0.3431258234824831,0.0105507930924058,0.6718996415770607,0.6666666666666666,0.6810035842293907,0.0040683766662832,0.0810223624612486,0.0702503757875027,0.0898203650010494,0.005551795298214
