dataset,outlier_method,norm,metric,ari_mean,ari_min,ari_max,ari_std,acc_mean,acc_min,acc_max,acc_std,silhouette_mean,silhouette_min,silhouette_max,silhouette_std
balance,iqr,none,cosine,0.197628939444762,0.0848450541612511,0.3890951321860126,0.0943230513220001,0.6915519999999998,0.6128,0.784,0.0497919280205135,0.1643986735340643,0.1605808285345494,0.1657125811629259,0.0010704791519729
balance,none,none,cosine,0.197628939444762,0.0848450541612511,0.3890951321860126,0.0943230513220001,0.6915519999999998,0.6128,0.784,0.0497919280205135,0.1643986735340643,0.1605808285345494,0.1657125811629259,0.0010704791519729
balance,zscore,none,cosine,0.197628939444762,0.0848450541612511,0.3890951321860126,0.0943230513220001,0.6915519999999998,0.6128,0.784,0.0497919280205135,0.1643986735340643,0.1605808285345494,0.1657125811629259,0.0010704791519729
blood,iqr,minmax,correlation,0.1013325472925567,0.0983642540131543,0.1049604613007153,0.0032815716918371,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.309357015487524,0.3058258365883716,0.3136729008087101,0.0039038651587028
blood,none,robust,minkowski,0.0796113968054622,-0.0036486420711699,0.0820596763040499,0.0096347159720009,0.7620320855614974,0.7620320855614974,0.7620320855614974,0.0,0.5522353163910307,0.5501475784302086,0.6605993674621067,0.0112854670226157
blood,zscore,minmax,correlation,0.1106257427623965,0.0616212204972933,0.1221206307011244,0.0237339733700081,0.7654320987654321,0.7654320987654321,0.7654320987654321,0.0,0.2810851884774857,0.2791869435558674,0.281530455804779,0.0009193619759359
cancer,iqr,robust,euclidean,0.7557775571818723,0.7455913260522707,0.7653765334837428,0.0040123610008019,0.9395226130653264,0.9371859296482412,0.942211055276382,0.0009570852741075,0.3520958383528904,0.350418735578808,0.3581241488455417,0.0030450047237617
cancer,none,minmax,euclidean,0.7301749027614344,0.7301749027614344,0.7301749027614344,0.0,0.9279437609841829,0.9279437609841829,0.9279437609841829,1.1102230246251563e-16,0.3845494883485514,0.3845494883485513,0.3845494883485513,1.1102230246251563e-16
cancer,zscore,minmax,minkowski,0.7271617038339265,0.7100511794887737,0.7319151853353071,0.0084162264296094,0.927979797979798,0.9232323232323232,0.9292929292929292,0.0023276199235965,0.3584747944055084,0.3571216361485758,0.3627797855124586,0.0023485561855442
ecoli,iqr,none,correlation,0.4036757355523129,0.4029573090367414,0.4041959754428992,0.000611354342305,0.6592810457516342,0.6535947712418301,0.6633986928104575,0.0048388088938247,0.0363804231974563,-0.0357209595229976,0.0885917693053712,0.0613556048627739
