dataset,outlier_method,norm,metric,ari_mean,ari_min,ari_max,ari_std,acc_mean,acc_min,acc_max,acc_std,hungarian_acc_mean,hungarian_acc_std,hungarian_acc_min,hungarian_acc_max,silhouette_mean,silhouette_min,silhouette_max,silhouette_std
balance,none,robust,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.7048320000000001,0.6368,0.776,0.0508389671020173,0.561936,0.0679313705441013,0.472,0.6528,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,zscore,robust,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.7048320000000001,0.6368,0.776,0.0508389671020173,0.561936,0.0679313705441013,0.472,0.6528,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,zscore_2.5,robust,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.7048320000000001,0.6368,0.776,0.0508389671020173,0.561936,0.0679313705441013,0.472,0.6528,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,zscore_3.5,robust,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.7048320000000001,0.6368,0.776,0.0508389671020173,0.561936,0.0679313705441013,0.472,0.6528,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,iqr,robust,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.7048320000000001,0.6368,0.776,0.0508389671020173,0.561936,0.0679313705441013,0.472,0.6528,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,iqr_1.2,robust,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.7048320000000001,0.6368,0.776,0.0508389671020173,0.561936,0.0679313705441013,0.472,0.6528,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,iqr_1.8,robust,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.7048320000000001,0.6368,0.776,0.0508389671020173,0.561936,0.0679313705441013,0.472,0.6528,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,zscore_robust,robust,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.7048320000000001,0.6368,0.776,0.0508389671020173,0.561936,0.0679313705441013,0.472,0.6528,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,zscore_robust_2.5,robust,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.7048320000000001,0.6368,0.776,0.0508389671020173,0.561936,0.0679313705441013,0.472,0.6528,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,zscore_robust_3.5,robust,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.7048320000000001,0.6368,0.776,0.0508389671020173,0.561936,0.0679313705441013,0.472,0.6528,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
