dataset,metric,outlier_method,norm,ari_mean,ari_min,ari_max,ari_std,acc_mean,acc_min,acc_max,acc_std,hungarian_acc_mean,hungarian_acc_std,hungarian_acc_min,hungarian_acc_max,silhouette_mean,silhouette_min,silhouette_max,silhouette_std
balance,chebyshev,none,minmax,0.1209378401840411,0.0001930574885596,0.285044951062517,0.0723394110443745,0.637648,0.4896,0.7472,0.0654798724494787,0.504864,0.0682438620243608,0.3776,0.6416,0.137527127875968,0.1256922692542795,0.1439260719480883,0.0038556602400314
balance,chebyshev,zscore,minmax,0.1209378401840411,0.0001930574885596,0.285044951062517,0.0723394110443745,0.637648,0.4896,0.7472,0.0654798724494787,0.504864,0.0682438620243608,0.3776,0.6416,0.137527127875968,0.1256922692542795,0.1439260719480883,0.0038556602400314
balance,chebyshev,zscore_2.5,minmax,0.1209378401840411,0.0001930574885596,0.285044951062517,0.0723394110443745,0.637648,0.4896,0.7472,0.0654798724494787,0.504864,0.0682438620243608,0.3776,0.6416,0.137527127875968,0.1256922692542795,0.1439260719480883,0.0038556602400314
balance,chebyshev,zscore_3.5,minmax,0.1209378401840411,0.0001930574885596,0.285044951062517,0.0723394110443745,0.637648,0.4896,0.7472,0.0654798724494787,0.504864,0.0682438620243608,0.3776,0.6416,0.137527127875968,0.1256922692542795,0.1439260719480883,0.0038556602400314
balance,chebyshev,iqr,minmax,0.1209378401840411,0.0001930574885596,0.285044951062517,0.0723394110443745,0.637648,0.4896,0.7472,0.0654798724494787,0.504864,0.0682438620243608,0.3776,0.6416,0.137527127875968,0.1256922692542795,0.1439260719480883,0.0038556602400314
balance,chebyshev,iqr_1.2,minmax,0.1209378401840411,0.0001930574885596,0.285044951062517,0.0723394110443745,0.637648,0.4896,0.7472,0.0654798724494787,0.504864,0.0682438620243608,0.3776,0.6416,0.137527127875968,0.1256922692542795,0.1439260719480883,0.0038556602400314
balance,chebyshev,iqr_1.8,minmax,0.1209378401840411,0.0001930574885596,0.285044951062517,0.0723394110443745,0.637648,0.4896,0.7472,0.0654798724494787,0.504864,0.0682438620243608,0.3776,0.6416,0.137527127875968,0.1256922692542795,0.1439260719480883,0.0038556602400314
balance,chebyshev,zscore_robust,minmax,0.1209378401840411,0.0001930574885596,0.285044951062517,0.0723394110443745,0.637648,0.4896,0.7472,0.0654798724494787,0.504864,0.0682438620243608,0.3776,0.6416,0.137527127875968,0.1256922692542795,0.1439260719480883,0.0038556602400314
balance,chebyshev,zscore_robust_2.5,minmax,0.1209378401840411,0.0001930574885596,0.285044951062517,0.0723394110443745,0.637648,0.4896,0.7472,0.0654798724494787,0.504864,0.0682438620243608,0.3776,0.6416,0.137527127875968,0.1256922692542795,0.1439260719480883,0.0038556602400314
balance,chebyshev,zscore_robust_3.5,minmax,0.1209378401840411,0.0001930574885596,0.285044951062517,0.0723394110443745,0.637648,0.4896,0.7472,0.0654798724494787,0.504864,0.0682438620243608,0.3776,0.6416,0.137527127875968,0.1256922692542795,0.1439260719480883,0.0038556602400314
balance,correlation,none,standard,0.2208576978180138,0.0954656218444042,0.380333808831117,0.1122309066877459,0.7019040000000001,0.6368,0.7824,0.0504554336419775,0.558512,0.0681942655653684,0.472,0.6528,0.3941049642487935,0.3933103274277924,0.395061461447985,0.0004056629998109
balance,correlation,zscore,standard,0.2208576978180138,0.0954656218444042,0.380333808831117,0.1122309066877459,0.7019040000000001,0.6368,0.7824,0.0504554336419775,0.558512,0.0681942655653684,0.472,0.6528,0.3941049642487935,0.3933103274277924,0.395061461447985,0.0004056629998109
balance,correlation,zscore_2.5,standard,0.2208576978180138,0.0954656218444042,0.380333808831117,0.1122309066877459,0.7019040000000001,0.6368,0.7824,0.0504554336419775,0.558512,0.0681942655653684,0.472,0.6528,0.3941049642487935,0.3933103274277924,0.395061461447985,0.0004056629998109
balance,correlation,zscore_3.5,standard,0.2208576978180138,0.0954656218444042,0.380333808831117,0.1122309066877459,0.7019040000000001,0.6368,0.7824,0.0504554336419775,0.558512,0.0681942655653684,0.472,0.6528,0.3941049642487935,0.3933103274277924,0.395061461447985,0.0004056629998109
balance,correlation,iqr,standard,0.2208576978180138,0.0954656218444042,0.380333808831117,0.1122309066877459,0.7019040000000001,0.6368,0.7824,0.0504554336419775,0.558512,0.0681942655653684,0.472,0.6528,0.3941049642487935,0.3933103274277924,0.395061461447985,0.0004056629998109
balance,correlation,iqr_1.2,standard,0.2208576978180138,0.0954656218444042,0.380333808831117,0.1122309066877459,0.7019040000000001,0.6368,0.7824,0.0504554336419775,0.558512,0.0681942655653684,0.472,0.6528,0.3941049642487935,0.3933103274277924,0.395061461447985,0.0004056629998109
balance,correlation,iqr_1.8,standard,0.2208576978180138,0.0954656218444042,0.380333808831117,0.1122309066877459,0.7019040000000001,0.6368,0.7824,0.0504554336419775,0.558512,0.0681942655653684,0.472,0.6528,0.3941049642487935,0.3933103274277924,0.395061461447985,0.0004056629998109
balance,correlation,zscore_robust,standard,0.2208576978180138,0.0954656218444042,0.380333808831117,0.1122309066877459,0.7019040000000001,0.6368,0.7824,0.0504554336419775,0.558512,0.0681942655653684,0.472,0.6528,0.3941049642487935,0.3933103274277924,0.395061461447985,0.0004056629998109
balance,correlation,zscore_robust_2.5,standard,0.2208576978180138,0.0954656218444042,0.380333808831117,0.1122309066877459,0.7019040000000001,0.6368,0.7824,0.0504554336419775,0.558512,0.0681942655653684,0.472,0.6528,0.3941049642487935,0.3933103274277924,0.395061461447985,0.0004056629998109
balance,correlation,zscore_robust_3.5,standard,0.2208576978180138,0.0954656218444042,0.380333808831117,0.1122309066877459,0.7019040000000001,0.6368,0.7824,0.0504554336419775,0.558512,0.0681942655653684,0.472,0.6528,0.3941049642487935,0.3933103274277924,0.395061461447985,0.0004056629998109
balance,cosine,none,standard,0.1387418811326368,0.0982782939157548,0.1841217358514214,0.0188441478457629,0.6574559999999999,0.6176,0.696,0.0158796997452722,0.524016,0.0123821704074851,0.4992,0.5504,0.2974267648681747,0.2972996274366022,0.2977873406110589,0.0001063253332216
balance,cosine,zscore,standard,0.1387418811326368,0.0982782939157548,0.1841217358514214,0.0188441478457629,0.6574559999999999,0.6176,0.696,0.0158796997452722,0.524016,0.0123821704074851,0.4992,0.5504,0.2974267648681747,0.2972996274366022,0.2977873406110589,0.0001063253332216
balance,cosine,zscore_2.5,standard,0.1387418811326368,0.0982782939157548,0.1841217358514214,0.0188441478457629,0.6574559999999999,0.6176,0.696,0.0158796997452722,0.524016,0.0123821704074851,0.4992,0.5504,0.2974267648681747,0.2972996274366022,0.2977873406110589,0.0001063253332216
balance,cosine,zscore_3.5,standard,0.1387418811326368,0.0982782939157548,0.1841217358514214,0.0188441478457629,0.6574559999999999,0.6176,0.696,0.0158796997452722,0.524016,0.0123821704074851,0.4992,0.5504,0.2974267648681747,0.2972996274366022,0.2977873406110589,0.0001063253332216
balance,cosine,iqr,standard,0.1387418811326368,0.0982782939157548,0.1841217358514214,0.0188441478457629,0.6574559999999999,0.6176,0.696,0.0158796997452722,0.524016,0.0123821704074851,0.4992,0.5504,0.2974267648681747,0.2972996274366022,0.2977873406110589,0.0001063253332216
balance,cosine,iqr_1.2,standard,0.1387418811326368,0.0982782939157548,0.1841217358514214,0.0188441478457629,0.6574559999999999,0.6176,0.696,0.0158796997452722,0.524016,0.0123821704074851,0.4992,0.5504,0.2974267648681747,0.2972996274366022,0.2977873406110589,0.0001063253332216
balance,cosine,iqr_1.8,standard,0.1387418811326368,0.0982782939157548,0.1841217358514214,0.0188441478457629,0.6574559999999999,0.6176,0.696,0.0158796997452722,0.524016,0.0123821704074851,0.4992,0.5504,0.2974267648681747,0.2972996274366022,0.2977873406110589,0.0001063253332216
balance,cosine,zscore_robust,standard,0.1387418811326368,0.0982782939157548,0.1841217358514214,0.0188441478457629,0.6574559999999999,0.6176,0.696,0.0158796997452722,0.524016,0.0123821704074851,0.4992,0.5504,0.2974267648681747,0.2972996274366022,0.2977873406110589,0.0001063253332216
balance,cosine,zscore_robust_2.5,standard,0.1387418811326368,0.0982782939157548,0.1841217358514214,0.0188441478457629,0.6574559999999999,0.6176,0.696,0.0158796997452722,0.524016,0.0123821704074851,0.4992,0.5504,0.2974267648681747,0.2972996274366022,0.2977873406110589,0.0001063253332216
balance,cosine,zscore_robust_3.5,standard,0.1387418811326368,0.0982782939157548,0.1841217358514214,0.0188441478457629,0.6574559999999999,0.6176,0.696,0.0158796997452722,0.524016,0.0123821704074851,0.4992,0.5504,0.2974267648681747,0.2972996274366022,0.2977873406110589,0.0001063253332216
balance,euclidean,none,none,0.1362627329773802,0.1141035066705216,0.1604956424765602,0.0157809919543016,0.654784,0.6288,0.6784,0.015652416554641,0.525744,0.0091300856512959,0.504,0.5376,0.1743386029665234,0.1743219436831256,0.1751024333403022,0.0001096170304069
balance,euclidean,zscore,none,0.1362627329773802,0.1141035066705216,0.1604956424765602,0.0157809919543016,0.654784,0.6288,0.6784,0.015652416554641,0.525744,0.0091300856512959,0.504,0.5376,0.1743386029665234,0.1743219436831256,0.1751024333403022,0.0001096170304069
balance,euclidean,zscore_2.5,none,0.1362627329773802,0.1141035066705216,0.1604956424765602,0.0157809919543016,0.654784,0.6288,0.6784,0.015652416554641,0.525744,0.0091300856512959,0.504,0.5376,0.1743386029665234,0.1743219436831256,0.1751024333403022,0.0001096170304069
balance,euclidean,zscore_3.5,none,0.1362627329773802,0.1141035066705216,0.1604956424765602,0.0157809919543016,0.654784,0.6288,0.6784,0.015652416554641,0.525744,0.0091300856512959,0.504,0.5376,0.1743386029665234,0.1743219436831256,0.1751024333403022,0.0001096170304069
balance,euclidean,iqr,none,0.1362627329773802,0.1141035066705216,0.1604956424765602,0.0157809919543016,0.654784,0.6288,0.6784,0.015652416554641,0.525744,0.0091300856512959,0.504,0.5376,0.1743386029665234,0.1743219436831256,0.1751024333403022,0.0001096170304069
balance,euclidean,iqr_1.2,none,0.1362627329773802,0.1141035066705216,0.1604956424765602,0.0157809919543016,0.654784,0.6288,0.6784,0.015652416554641,0.525744,0.0091300856512959,0.504,0.5376,0.1743386029665234,0.1743219436831256,0.1751024333403022,0.0001096170304069
balance,euclidean,iqr_1.8,none,0.1362627329773802,0.1141035066705216,0.1604956424765602,0.0157809919543016,0.654784,0.6288,0.6784,0.015652416554641,0.525744,0.0091300856512959,0.504,0.5376,0.1743386029665234,0.1743219436831256,0.1751024333403022,0.0001096170304069
balance,euclidean,zscore_robust,none,0.1362627329773802,0.1141035066705216,0.1604956424765602,0.0157809919543016,0.654784,0.6288,0.6784,0.015652416554641,0.525744,0.0091300856512959,0.504,0.5376,0.1743386029665234,0.1743219436831256,0.1751024333403022,0.0001096170304069
balance,euclidean,zscore_robust_2.5,none,0.1362627329773802,0.1141035066705216,0.1604956424765602,0.0157809919543016,0.654784,0.6288,0.6784,0.015652416554641,0.525744,0.0091300856512959,0.504,0.5376,0.1743386029665234,0.1743219436831256,0.1751024333403022,0.0001096170304069
balance,euclidean,zscore_robust_3.5,none,0.1362627329773802,0.1141035066705216,0.1604956424765602,0.0157809919543016,0.654784,0.6288,0.6784,0.015652416554641,0.525744,0.0091300856512959,0.504,0.5376,0.1743386029665234,0.1743219436831256,0.1751024333403022,0.0001096170304069
balance,hamming,none,none,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,hamming,none,minmax,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
